t,Wx,Wy,Wz,Wt
22.185155,0.187,-0.687,0.357,0.797
22.187277,0.204,-0.734,0.352,0.839
22.189163,0.221,-0.782,0.341,0.881
22.192785,0.237,-0.838,0.33,0.931
22.193169,0.255,-0.899,0.321,0.988
22.195353,0.27,-0.968,0.313,1.052
22.197109,0.28,-1.042,0.301,1.12
22.200371,0.288,-1.077,0.294,1.153
22.201166,0.289,-1.151,0.282,1.22
22.203961,0.297,-1.222,0.268,1.285
22.205122,0.296,-1.293,0.25,1.35
22.209481,0.288,-1.357,0.229,1.406
22.209545,0.282,-1.415,0.208,1.458
22.211954,0.271,-1.466,0.183,1.502
22.213094,0.252,-1.513,0.158,1.542
22.217808,0.233,-1.549,0.133,1.572
22.217867,0.224,-1.566,0.12,1.586
22.219944,0.202,-1.596,0.095,1.611
22.221088,0.183,-1.615,0.07,1.626
22.226227,0.159,-1.632,0.043,1.64
22.229152,0.099,-1.641,-0.03,1.644
22.234743,0.082,-1.632,-0.053,1.635
22.237157,0.063,-1.609,-0.077,1.612
22.23931,0.057,-1.56,-0.101,1.564
22.24266,0.057,-1.528,-0.11,1.533
22.243701,0.072,-1.493,-0.114,1.499
22.245124,0.087,-1.446,-0.119,1.453
22.247277,0.106,-1.399,-0.12,1.409
22.251339,0.133,-1.351,-0.12,1.363
22.251562,0.145,-1.326,-0.12,1.339
22.2531,0.175,-1.267,-0.12,1.285
22.256207,0.206,-1.205,-0.115,1.228
22.259088,0.245,-1.145,-0.11,1.176
22.259907,0.285,-1.076,-0.099,1.117
22.261073,0.338,-1.009,-0.079,1.067
22.263949,0.388,-0.94,-0.061,1.019
22.267832,0.441,-0.877,-0.042,0.983
22.267993,0.492,-0.812,-0.02,0.949
22.269236,0.515,-0.786,-0.01,0.939
22.272094,0.57,-0.73,0.011,0.926
22.273546,0.616,-0.676,0.03,0.915
22.276592,0.659,-0.63,0.049,0.913
22.277189,0.7,-0.591,0.067,0.919
22.28004,0.738,-0.561,0.086,0.931
22.281803,0.765,-0.538,0.103,0.941
22.284715,0.793,-0.523,0.122,0.958
22.285107,0.807,-0.514,0.145,0.968
22.287526,0.813,-0.509,0.155,0.972
22.289236,0.826,-0.516,0.18,0.99
22.292404,0.834,-0.517,0.205,1.003
22.293191,0.841,-0.532,0.232,1.021
22.295843,0.842,-0.545,0.255,1.035
22.29717,0.842,-0.567,0.276,1.052
22.300573,0.842,-0.586,0.283,1.064
22.301269,0.839,-0.599,0.271,1.066
22.303411,0.833,-0.605,0.268,1.064
22.305077,0.825,-0.611,0.275,1.063
22.309452,0.813,-0.62,0.305,1.067
22.309514,0.801,-0.632,0.344,1.077
22.311919,0.796,-0.654,0.384,1.099
22.313148,0.789,-0.685,0.418,1.126
22.317637,0.781,-0.709,0.448,1.146
22.317699,0.773,-0.734,0.474,1.167
22.319968,0.764,-0.754,0.498,1.183
22.32113,0.761,-0.761,0.508,1.19
22.327254,0.748,-0.773,0.524,1.197
22.334143,0.693,-0.763,0.581,1.183
22.336277,0.666,-0.721,0.612,1.157
22.342465,0.648,-0.673,0.638,1.131
22.345161,0.617,-0.549,0.686,1.073
22.348115,0.613,-0.498,0.701,1.056
22.351415,0.605,-0.449,0.717,1.04
22.351481,0.599,-0.392,0.733,1.025
22.353067,0.595,-0.332,0.752,1.015
22.355661,0.589,-0.275,0.768,1.006
22.359603,0.584,-0.243,0.777,1.002
22.360023,0.578,-0.185,0.797,1.002
22.361221,0.573,-0.129,0.819,1.008
22.363902,0.566,-0.075,0.844,1.019
22.367562,0.559,-0.025,0.864,1.03
22.368002,0.55,0.02,0.884,1.041
22.369065,0.546,0.071,0.894,1.05
22.371882,0.54,0.114,0.902,1.057
22.376144,0.538,0.136,0.909,1.065
22.376212,0.531,0.181,0.929,1.085
22.378027,0.535,0.219,0.954,1.116
22.379908,0.541,0.25,0.982,1.149
22.381099,0.55,0.275,1.005,1.179
22.384107,0.563,0.302,1.026,1.209
22.385149,0.581,0.323,1.048,1.241
22.387865,0.597,0.338,1.066,1.268
22.389055,0.619,0.348,1.083,1.295
22.392027,0.625,0.351,1.089,1.304
22.393241,0.645,0.351,1.101,1.324
22.396254,0.663,0.343,1.113,1.34
22.39711,0.679,0.329,1.123,1.353
22.401152,0.694,0.312,1.134,1.366
22.401218,0.708,0.294,1.14,1.374
22.403184,0.726,0.271,1.148,1.385
22.405068,0.737,0.246,1.149,1.387
22.409513,0.754,0.221,1.149,1.392
22.40958,0.762,0.208,1.148,1.394
22.411986,0.781,0.183,1.142,1.395
22.413083,0.793,0.16,1.137,1.396
22.417865,0.806,0.134,1.128,1.393
22.417926,0.823,0.114,1.12,1.395
22.419909,0.838,0.09,1.111,1.394
22.421084,0.853,0.069,1.101,1.394
22.425646,0.864,0.045,1.088,1.39
22.425713,0.87,0.037,1.081,1.388
