t,Ax,Ay,Az,aT
2.912384,1.326,-3.2882,-0.2235,3.55
2.921203,1.6689,-3.109,-0.0496,3.53
2.928934,1.7302,-3.0191,0.1425,3.48
2.938775,1.8886,-3.1384,0.3363,3.68
2.951152,2.8433,-3.5949,0.4675,4.61
2.959808,3.1987,-3.6548,0.7505,4.91
2.976059,3.5496,-3.3865,1.2397,5.06
2.984055,3.5871,-3.0158,1.3993,4.89
2.991703,3.582,-2.654,1.5066,4.71
3.000056,3.4371,-2.2696,1.5952,4.42
3.008201,3.1307,-1.8775,1.6983,4.03
3.024052,3.605,-1.1784,1.6996,4.16
3.032227,4.6158,-1.1529,1.805,5.09
3.040311,5.8719,-1.1655,1.9255,6.29
3.04806,6.8708,-0.9264,2.1932,7.27
3.064273,8.3139,0.2646,3.0011,8.84
3.072031,8.5894,1.059,3.5407,9.35
3.080312,8.4524,1.8457,3.9556,9.51
3.087925,8.1151,2.6904,4.3226,9.58
3.104025,7.1442,4.1266,4.7595,9.52
3.112362,6.4503,4.5471,4.6897,9.18
3.120807,5.7767,4.7328,4.577,8.76
3.12876,5.0173,4.9179,4.4333,8.31
3.144085,5.254,5.4591,3.9987,8.57
3.156966,6.3658,5.7078,3.6718,9.31
3.159186,7.5069,5.8877,3.2644,10.08
3.176081,7.8295,6.0014,2.5976,10.2
3.184537,7.2347,6.054,2.2486,9.7
3.191901,6.1464,6.085,1.8134,8.84
3.19998,4.9461,5.9713,1.3695,7.87
3.207825,3.9962,5.8925,1.0884,7.2
3.223661,2.739,5.8347,0.6767,6.48
3.232368,2.5302,5.6504,0.5012,6.21
3.240236,2.6587,5.4612,0.3564,6.08
3.248145,2.9341,5.2081,0.2991,5.99
3.263164,3.9307,4.7072,0.3847,6.14
3.271219,4.2145,4.4829,0.4163,6.17
3.280088,4.5369,4.376,0.4572,6.32
3.29173,4.6561,4.3206,0.3902,6.36
3.303644,4.7999,4.2499,0.0237,6.41
3.313276,4.5129,3.7573,-0.709,5.91
3.321732,4.4762,3.8222,-0.872,5.95
3.330401,4.6016,4.2393,-0.5839,6.28
3.339021,3.9402,4.1906,-0.5969,5.78
3.352189,3.3999,3.4944,-0.7306,4.93
